,G18USSRCRU
8889,509
8158,924
8164,2106
8166,2607
8163,1720
8169,1827
8172,2194
8890,1500
395,671
8173,642
396,44
398,294
399,199
400,139
401,100
7815,182
1224,243
7813,817
397,114
7812,58
7816,239
7814,57
1226,220
1227,50
1229,91
1228,51
402,68
403,140
1225,63
2090,120
8175,482
404,78
8730,213
4092,211
8174,461
4095,278
4096,719
8178,428
4097,727
8732,1029
8176,1101
406,404
4094,171
4948,135
4098,292
4099,1082
8177,231
8179,262
4100,765
405,1173
4741,173
8731,92
4743,37
4091,72
4744,45
4101,258
4090,101
4093,225
4742,634
2100,1435
2091,654
2093,158
407,1150
2095,1103
2097,332
1973,916
2096,1643
2099,305
2098,203
410,23
408,856
2094,965
409,230
411,117
2092,536
8180,161
8182,141
8181,64
8183,92
412,292
4778,241
3739,155
2101,148
4102,166
414,226
413,356
4103,180
2103,177
2102,295
415,212
2104,294
2106,58
2107,85
417,45
416,21
2105,88
418,157
4107,20
4106,7
4104,17
2108,6
4105,121
4110,149
4108,299
4109,194
2113,39
463,63
4613,80
1317,147
1262,474
496,521
1263,665
442,182
498,228
465,77
6909,167
443,50
6908,92
537,827
794,272
550,403
4614,41
1302,250
851,51
1318,458
833,317
590,347
591,558
583,502
5992,88
6631,493
500,253
5985,138
594,376
4682,202
1247,360
4631,34
1276,100
1252,152
566,122
4634,8
1331,405
428,28
600,28
427,733
601,808
450,126
451,54
580,215
454,818
2109,617
7723,44
6910,60
453,736
4123,160
4185,83
4125,205
2124,252
2125,323
452,452
479,1091
2129,304
865,7
484,197
485,13
486,194
491,2
1239,13
4617,5
1319,151
592,460
1339,250
1341,84
3743,225
3744,398
4625,0
432,59
2111,263
433,49
2112,513
434,14
456,139
435,348
457,77
7791,38
787,172
909,145
857,63
4727,126
4728,154
4729,138
4621,54
468,37
4725,81
4726,50
459,175
469,89
1277,2
859,69
470,96
1240,117
1241,36
0,106
1242,3
4127,16
4126,55
480,136
481,36
2962,0
4133,83
4626,26
4624,10
891,18
4124,158
483,194
535,785
536,101
1271,52
4683,260
4184,214
4615,22
854,0
4190,301
4684,56
4632,48
1310,359
866,4
853,138
4618,152
4616,5
4628,99
858,15
4681,58
2965,0
4633,7
852,0
4636,3
1994,0
1993,0
1256,556
425,533
426,438
487,4
492,330
789,287
6621,3
476,317
864,8
501,544
4139,621
4138,214
4622,27
4144,322
1257,6
7722,76
1995,0
4721,403
4720,550
897,657
896,323
785,589
4157,340
523,401
521,516
515,425
894,245
6628,385
6632,427
6633,46
1299,115
4176,348
4175,66
1303,312
551,578
6634,298
4713,437
2998,175
1323,826
1321,638
4183,447
4191,469
4197,631
1333,615
1324,456
4635,23
4685,11
4196,207
4182,439
1304,41
7726,307
2969,221
1996,0
3948,0
1778,1
2952,3
4121,344
477,963
898,680
4132,303
899,566
4629,1220
2128,632
489,632
490,490
488,776
507,584
508,507
2136,244
4130,327
4136,1420
1251,274
2956,345
4149,653
499,712
2137,1554
2139,266
7725,436
509,476
2142,1104
519,1362
466,745
4114,0
538,785
547,1015
548,735
549,348
562,541
563,606
577,367
1316,828
1330,277
1311,841
578,673
1332,522
446,1617
1273,918
2138,669
467,332
1272,553
4730,706
1237,805
447,821
1274,498
1275,511
1238,866
1248,635
4146,350
448,335
4147,187
4148,533
4630,208
1290,334
567,452
429,1046
430,946
