CNTYVTD,VTDKEY,SlaughterR_18G_CCA 8,AshL_18G_CCA 8
"0410039",1166,1676,610
"0410040",1167,2147,564
"0410041",1168,2382,411
"0410042",1169,0,0
"0410043",1170,7,3
"0410044",1171,56,6
"0410045",1172,49,5
"0410046",1173,108,34
"0410047",1174,115,35
"0410048",1175,103,14
"0410049",1176,76,71
"0410050",1177,3,0
"0410051",1178,0,0
"0410052",1179,11,1
"0410053",1180,0,1
"0410056",1181,6,1
"0410057",1182,31,31
"0410058",1183,257,73
"0410059",1184,12,1
"0410060",1185,83,5
"0410061",1186,33,6
"0410062",1187,1,0
"0410063",1188,2284,451
"0410064",1189,0,0
"0410065",1190,74,10
"0410067",1191,84,22
"0410068",1192,0,0
"0410069",1193,1947,443
"0410070",1194,287,121
"0410071",1195,58,10
"0410072",1196,10,2
"0410074",1197,103,75
"0410077",1198,118,32
"0410078",1199,112,11
"0410079",1200,24,9
"0410080",1201,1537,347
"0410081",1202,26,6
"0410082",1203,163,27
"0410083",1204,0,0
"0410086",1205,2,0
"0410087",1206,0,0
"0410088",1207,0,0
"0410089",1208,0,0
"0410090",1209,0,0
"0410091A",1210,2,0
"0410091B",1211,1,1
"0410092",1212,0,0
"0410093",1213,0,0
"0410094A",1214,0,0
