CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"3030067",6236,684,348,48
"3030072",6237,915,464,56
"3030075",6238,564,138,34
"3030076",6239,667,264,49
"3030078",6240,1440,318,43
"3030092A",6241,123,40,7
"3030092B",6242,5,1,0
"3030096",6243,28,24,0
"3030102",6244,274,22,12
"3030104",6245,501,92,27
"3030109",6246,1634,314,81
"3030110",6247,1765,351,56
"3030111",6248,713,140,31
"3030112",6249,150,12,2
"3030113A",6250,574,478,53
"3030113B",6251,0,0,0
"3030114",6252,129,178,14
"3030118",6253,572,277,35
"3030119",6254,749,539,53
"3030120",6255,1328,228,73
"3030121",6256,1249,208,50
"3030122",6257,466,181,33
"3030123",6258,821,272,44
"3030124",6259,914,240,61
"3030125",6260,1036,270,40
"3030126",6261,605,226,38
"3030127",6262,1111,361,48
"3030128",6263,966,206,53
"3030129",6264,1359,425,71
"3030135",6265,144,27,10
"3030138",6266,109,18,1
"3030140",6267,1722,389,61
"3030141",6268,923,416,53
"3030142",6269,29,23,2
"3030151",6270,426,103,27
"3030152",6271,410,369,23
"3030153",6272,86,400,8
"3030154",6273,1330,340,67
"3030155",6274,1249,156,54
"3030159",6275,6,0,0
"3030178",6276,155,18,11
"3050001A",6277,94,29,5
"3050001B",6278,10,1,0
"3050002",6279,124,40,15
"3050003",6280,186,53,5
"3050004",6281,301,33,9
"3050005",6282,21,3,1
"3050006",6283,141,38,5
"3050007",6284,28,1,0
"3050008",6285,10,1,0
"3050009",6286,195,17,4
"3050010",6287,2,0,0
"3050011",6288,48,2,0
"3050012",6289,51,16,1
"3050013",6290,62,14,3
"3050014",6291,56,36,3
"3070101",6292,644,87,23
"3070102",6293,72,14,3
"3070201",6294,230,91,11
"3070202",6295,89,14,5
"3070301",6296,482,74,29
"3070302",6297,132,9,9
"3070401",6298,258,56,16
"3070402",6299,194,16,5
"3070403",6300,83,12,6
"3090001",6301,62,94,7
"3090002",6302,56,116,7
"3090003",6303,461,728,42
"3090004",6304,40,42,1
"3090005",6305,66,210,3
"3090006",6306,68,201,4
"3090007",6307,214,391,28
"3090008",6308,218,327,24
"3090009",6309,104,253,16
"3090010",6310,109,664,24
"3090011",6311,955,391,44
"3090012",6312,84,1210,18
"3090013",6313,31,25,2
"3090014",6314,61,503,10
"3090015",6315,91,39,1
"3090016",6316,231,80,15
"3090017",6317,253,236,18
"3090018",6318,96,143,14
"3090019",6319,1256,520,49
"3090020",6320,39,134,8
"3090021",6321,71,156,14
"3090022",6322,66,109,8
"3090023",6323,1694,476,58
"3090024",6324,320,119,9
"3090025",6325,235,419,19
"3090026",6326,104,186,9
"3090027",6327,74,265,11
"3090028",6328,362,269,20
"3090029",6329,178,209,13
"3090030",6330,547,461,47
"3090031",6331,668,509,33
"3090032",6332,434,142,13
"3090033",6333,639,297,41
"3090034",6334,561,284,30
"3090035",6335,150,248,8
"3090036",6336,467,205,25
"3090037",6337,224,259,18
"3090038",6338,134,159,14
"3090039",6339,85,231,5
"3090040",6340,684,446,47
"3090041",6341,509,353,32
"3090042",6342,161,313,21
"3090043",6343,99,95,7
"3090044",6344,1949,628,99
"3090045",6345,102,136,7
"3090046",6346,34,72,4
"3090047",6347,110,126,8
"3090048",6348,63,108,10
"3090049",6349,108,103,8
"3090050",6350,256,354,23
"3090051",6351,1685,788,74
"3090052",6352,448,171,22
"3090053A",6353,80,80,6
"3090053B",6354,0,0,0
"3090054",6355,237,104,4
"3090055",6356,572,99,18
"3090056",6357,129,226,12
"3090057",6358,280,273,12
"3090058",6359,751,565,43
"3090059",6360,1667,439,55
"3090060",6361,1818,792,96
"3090061",6362,1347,564,58
"3090062",6363,1913,893,123
"3090063",6364,2086,506,68
"3090064",6365,367,125,28
"3090065",6366,487,99,16
"3090066",6367,610,115,28
"3090067",6368,1255,256,46
"3090068",6369,511,114,23
"3090069",6370,804,101,45
"3090070",6371,198,21,8
"3090071",6372,286,87,21
"3090072",6373,423,115,20
"3090073",6374,477,78,25
"3090074",6375,366,62,15
"3090075",6376,1565,304,65
"3090076",6377,934,208,62
"3090077",6378,694,134,45
"3090078",6379,1522,442,58
"3090079",6380,463,216,25
"3090080",6381,1238,113,39
"3090081",6382,1968,332,68
"3090082",6383,1380,262,45
"3090083",6384,270,55,13
"3090084",6385,909,298,40
"3090085",6386,172,206,16
"3090086",6387,332,560,23
"3090087",6388,274,344,17
"3090088",6389,98,86,4
"3090089",6390,7,18,1
"3090090",6391,131,94,6
"3090091",6392,951,274,39
"3110001",6393,77,20,2
"3110003",6394,101,29,4
"311002A",6395,49,13,3
"311002B",6396,53,12,0
"311004A",6397,41,8,2
"311004B",6398,55,14,4
"3130101",6399,668,171,27
"3130202",6400,770,210,20
"3130303",6401,514,272,10
"3130404",6402,976,110,38
"3150001",6403,180,94,11
"3150002",6404,469,98,24
"3150003",6405,228,55,6
"3150004",6406,174,76,4
"3150005",6407,296,75,15
"3150006",6408,272,142,6
"3150007",6409,163,211,7
"3150008",6410,386,104,14
"3150009",6411,171,47,8
"3150010",6412,102,71,4
"3170001A",6413,272,60,14
"3170001B",6414,0,0,0
"3170002",6415,207,67,9
"3170003A",6416,305,29,15
"3170003B",6417,0,0,0
"3170004",6418,251,48,12
"317003A",6419,125,11,2
"317004A",6420,103,5,1
"3190101",6421,381,81,14
"3190210",6422,271,75,19
"3190302",6423,463,96,19
"3190405",6424,405,91,19
"3210002",6425,342,73,9
