CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0390048",1108,865,455
"0390049",1109,792,111
"0390050",1110,1141,2657
"0390051",1111,1604,518
"0390052",1112,1202,540
"0390053",1113,291,864
"0390054",1114,685,1051
"0390055",1115,1164,472
"0390056",1116,1673,708
"0390057",1117,1352,346
"0390058",1118,870,840
"0390059",1119,681,1632
"0390060",1120,1391,1422
"0390061",1121,511,205
"0390062",1122,887,1258
"0390063",1123,501,1620
"0390064",1124,15,5
"0390066",1125,379,876
"0390067",1126,566,1414
"0390068",1127,644,1275
"0410001",1128,1001,213
"0410002",1129,2459,795
"0410003",1130,325,176
"0410004",1131,63,527
"0410005",1132,854,196
"0410006",1133,498,83
"0410007",1134,870,157
"0410008",1135,383,454
"0410009",1136,403,362
"0410010",1137,1291,754
"0410011",1138,641,744
"0410012",1139,1549,947
"0410013",1140,839,489
"0410014",1141,271,663
"0410015",1142,1269,560
"0410016",1143,108,326
"0410017",1144,636,795
"0410018",1145,34,187
"0410019",1146,57,63
"0410020",1147,851,1184
"0410021",1148,302,506
"0410022",1149,64,95
"0410023",1150,32,5
"0410024",1151,682,609
"0410025",1152,47,341
"0410026",1153,1288,517
"0410027",1154,1672,345
"0410028",1155,211,25
"0410029",1156,339,182
"0410030",1157,476,547
"0410031",1158,1272,1080
"0410032",1159,0,0
"0410033",1160,240,439
"0410034",1161,938,1174
"0410035",1162,1440,2072
"0410036",1163,1013,840
"0410037",1164,73,10
"0410038",1165,8,100
"0410039",1166,1533,1087
"0410040",1167,2016,1038
"0410041",1168,2263,816
"0410042",1169,0,0
"0410043",1170,4,10
"0410044",1171,57,7
"0410045",1172,45,17
"0410046",1173,100,70
"0410047",1174,106,85
"0410048",1175,102,29
"0410049",1176,48,131
"0410050",1177,4,0
"0410051",1178,0,0
"0410052",1179,10,2
"0410053",1180,0,1
"0410056",1181,6,2
"0410057",1182,27,71
"0410058",1183,233,139
"0410059",1184,12,3
"0410060",1185,81,7
"0410061",1186,30,8
"0410062",1187,1,0
"0410063",1188,2178,824
"0410064",1189,0,0
"0410065",1190,72,16
"0410067",1191,77,41
"0410068",1192,0,0
"0410069",1193,1799,866
"0410070",1194,256,204
"0410071",1195,64,10
"0410072",1196,8,6
"0410074",1197,74,139
"0410077",1198,109,77
"0410078",1199,112,15
"0410079",1200,23,20
"0410080",1201,1462,578
"0410081",1202,24,13
"0410082",1203,158,47
"0410083",1204,0,0
"0410086",1205,2,0
"0410087",1206,0,0
"0410088",1207,0,0
"0410089",1208,0,0
"0410090",1209,0,0
